,sum,store
0,600692154.53,1.0
1,127229644.3,2.0
2,241646492.56,8.0
3,334244186.2,13.0
4,337729922.33,14.0
5,94511760.81,20.0
6,296311480.83,22.0
7,286951072.39,25.0
8,190771683.67,26.0
9,145442640.08,28.0
10,328099169.34,34.0
11,133604384.23,38.0
12,308265704.39,44.0
13,142392053.09,46.0
14,377243938.97,50.0
15,631315383.15,56.0
16,89848574.82,58.0
17,394719234.07,61.0
18,117605404.02,64.0
19,267742027.23,74.0
20,598682447.35,76.0
21,201843499.26,80.0
22,228162614.67,82.0
23,149241556.2,85.0
24,588664241.91,86.0
25,330435941.77,88.0
26,342618504.37,91.0
27,146981530.39,92.0
28,220316944.83,94.0
29,174784824.26,97.0
30,153575846.64,104.0
31,437880032.32,118.0
32,428108799.63,122.0
33,411193787.57,128.0
34,381882162.35,134.0
35,204719253.33,136.0
36,171470621.3,139.0
37,415570172.76,146.0
38,219130640.37,148.0
39,387345607.76,151.0
40,144556373.59,154.0
41,160527071.35,157.0
42,322351707.63,160.0
43,342103954.61,163.0
44,140964222.74,164.0
45,224673806.49,170.0
46,257459351.03,187.0
47,537284981.97,188.0
48,422197103.01,193.0
49,350360020.78,194.0
50,439958330.11,199.0
51,136442888.02,205.0
52,160851913.55,206.0
53,428641479.2,208.0
54,115930045.21,211.0
55,164805045.28,214.0
56,179418970.85,224.0
57,232185214.69,226.0
58,332252766.0,229.0
59,485535936.26,232.0
60,307643352.26,235.0
61,608996921.37,236.0
62,450329872.49,242.0
63,316793647.03,244.0
64,299354486.2,248.0
65,111402460.32,250.0
66,637677351.49,253.0
67,143303149.91,259.0
68,643317288.32,260.0
69,561914697.39,262.0
70,103526605.76,265.0
71,195398621.53,266.0
72,525800678.23,278.0
73,120718357.48,280.0
74,266136190.17,283.0
75,192298427.57,295.0
76,188810169.37,301.0
77,206521457.22,304.0
78,293305086.84,310.0
79,100102479.89,316.0
80,109197206.57,319.0
81,101512878.04,320.0
82,500306490.21,325.0
83,602923548.38,328.0
84,247553919.32,331.0
85,107813755.49,332.0
86,303329305.17,340.0
87,488078472.36,343.0
