,sum,store
0,600614516.64,1.0
1,127230579.29,2.0
2,241604445.72,8.0
3,334213662.25,13.0
4,337713597.37,14.0
5,94503573.22,20.0
6,296274459.85,22.0
7,286887532.87,25.0
8,190758779.17,26.0
9,145431629.57,28.0
10,328052019.22,34.0
11,133584377.24,38.0
12,308204962.04,44.0
13,142370408.78,46.0
14,377161132.15,50.0
15,631186113.59,56.0
16,89822811.7,58.0
17,394653024.76,61.0
18,117593358.8,64.0
19,267704085.94,74.0
20,598607303.35,76.0
21,201817556.97,80.0
22,228144227.29,82.0
23,149223003.4,85.0
24,588542569.68,86.0
25,330397103.31,88.0
26,342579770.57,91.0
27,146974515.3,92.0
28,220312728.04,94.0
29,174767159.03,97.0
30,153568865.93,104.0
31,437799455.59,118.0
32,428053874.18,122.0
33,411148280.2,128.0
34,381839281.14,134.0
35,204723802.34,136.0
36,171431715.78,139.0
37,415524737.29,146.0
38,219074600.99,148.0
39,387277668.6,151.0
40,144550760.03,154.0
41,160522240.82,157.0
42,322297175.57,160.0
43,342084396.02,163.0
44,140939350.66,164.0
45,224649230.29,170.0
46,257434779.27,187.0
47,537190356.47,188.0
48,422163746.06,193.0
49,350349259.54,194.0
50,439846914.83,199.0
51,136427461.94,205.0
52,160834645.25,206.0
53,428606798.93,208.0
54,115915296.53,211.0
55,164804252.99,214.0
56,179387204.8,224.0
57,232170442.56,226.0
58,332202003.73,229.0
59,485451062.14,232.0
60,307584350.34,235.0
61,608951562.7,236.0
62,450282984.77,242.0
63,316717947.08,244.0
64,299299779.76,248.0
65,111384014.71,250.0
66,637564999.97,253.0
67,143268560.81,259.0
68,643199296.67,260.0
69,561843772.62,262.0
70,103511893.04,265.0
71,195368095.42,266.0
72,525703585.84,278.0
73,120703756.74,280.0
74,266092847.2,283.0
75,192264444.3,295.0
76,188807160.69,301.0
77,206501098.84,304.0
78,293280387.17,310.0
79,100104733.02,316.0
80,109177350.56,319.0
81,101485972.86,320.0
82,500287987.77,325.0
83,602811042.49,328.0
84,247512148.08,331.0
85,107801566.39,332.0
86,303273381.1,340.0
87,488063186.82,343.0
88,446710937.4,344.0
89,94151274.84,346.0
90,609066599.55,350.0
91,409556246.42,352.0
92,522490549.53,355.0
93,255953945.58,356.0
94,566768681.1,358.0
95,489587310.94,361.0
96,339075879.91,367.0
97,164420679.3,374.0
98,234618401.91,376.0
99,242363980.19,382.0
100,96729953.86,385.0
101,114745033.9,397.0
102,226580866.7,398.0
103,166791809.88,403.0
104,95216253.48,410.0
105,163046383.3,412.0
106,134507665.52,415.0
107,594022648.87,418.0
108,279800319.23,421.0
109,107128261.99,424.0
110,283069366.71,427.0
111,344750794.01,430.0
112,193835250.76,446.0
113,392473719.18,448.0
114,209936292.21,452.0
115,566024085.77,454.0
116,515868525.29,457.0
117,339743200.86,458.0
118,509334512.58,463.0
119,417475964.71,472.0
120,415195979.79,475.0
121,95331985.88,476.0
122,199831651.51,481.0
123,282493684.77,484.0
124,254357547.64,502.0
125,250364835.67,505.0
126,252453376.5,508.0
127,511821841.22,512.0
128,257928689.92,514.0
129,97329885.57,520.0
130,156408821.24,524.0
131,123616210.41,526.0
132,304410687.94,532.0
133,157695194.13,535.0
134,99721013.68,536.0
135,357094159.41,547.0
136,238852978.88,548.0
137,563695286.07,554.0
138,480493288.59,559.0
139,184988023.05,560.0
140,261150530.92,562.0
141,274738699.44,566.0
142,129940622.93,568.0
143,652363326.84,574.0
144,91778404.13,578.0
145,388587896.93,580.0
146,167820708.19,584.0
147,209363283.52,589.0
148,548404725.28,592.0
149,275753392.34,595.0
150,161025536.26,598.0
151,180396453.35,601.0
152,259725452.59,602.0
153,552815439.73,608.0
154,573403688.87,614.0
155,288014469.56,616.0
156,321751445.11,619.0
157,380787964.52,625.0
158,633638405.44,634.0
159,155466919.78,637.0
160,127340098.57,638.0
161,423874330.94,644.0
162,115985810.88,650.0
163,136306846.75,652.0
164,262884845.9,655.0
165,203680718.84,658.0
166,119643701.23,661.0
167,528281008.4,668.0
168,317518868.08,673.0
169,478194167.99,682.0
170,113918920.75,685.0
171,474460059.73,686.0
172,364756415.75,691.0
173,595562964.62,692.0
174,212661449.02,700.0
175,470522033.01,704.0
176,173922720.47,706.0
177,441308518.01,709.0
178,495743764.81,710.0
179,359888592.72,712.0
180,231342349.19,715.0
181,628601601.04,718.0
182,177444846.86,722.0
183,187514109.75,724.0
184,113667735.67,728.0
185,494513004.66,734.0
186,351519765.89,740.0
187,605562319.09,745.0
188,645734701.13,746.0
189,196722528.34,748.0
190,138236543.92,763.0
191,384306240.79,764.0
192,612682865.53,766.0
193,186803883.84,769.0
194,253432571.88,770.0
195,173098155.4,775.0
196,140481015.68,781.0
197,482514978.8,784.0
198,347617317.94,787.0
199,271912686.19,788.0
200,214544409.88,790.0
201,159093422.08,793.0
202,532711505.37,796.0
203,102335354.15,799.0
204,267778668.52,800.0
205,384624624.21,802.0
206,436301576.29,805.0
207,168815284.32,808.0
208,148073854.77,814.0
209,458297535.47,820.0
210,176857097.89,823.0
211,315069571.62,824.0
212,354366039.68,830.0
213,224136567.02,832.0
214,188980807.58,838.0
215,312033338.51,841.0
216,579705189.55,842.0
217,639906246.44,847.0
218,186084744.63,848.0
219,319700916.77,850.0
220,214565595.58,854.0
221,310412638.37,856.0
222,517216069.73,859.0
223,122980067.95,862.0
224,182094436.79,865.0
225,581822876.79,868.0
226,295522829.01,871.0
227,164951999.67,872.0
228,114338209.24,874.0
229,497973990.46,880.0
230,634962465.03,883.0
231,207691237.53,898.0
232,270031487.13,901.0
233,108447002.07,904.0
234,152678050.04,907.0
235,97718976.83,914.0
236,625489287.72,916.0
237,367864256.76,919.0
238,107267264.13,922.0
239,404412661.35,925.0
240,622690015.82,926.0
241,555040415.95,928.0
242,183577912.82,932.0
243,150491842.3,934.0
244,166529427.18,938.0
245,524995907.14,940.0
246,288606187.18,946.0
247,390224680.09,949.0
248,100123686.02,955.0
249,328924833.19,956.0
250,560001553.4,958.0
251,352854319.0,968.0
252,207709657.1,973.0
253,99144341.96,976.0
254,247241503.26,979.0
255,121233924.34,982.0
256,193052938.67,985.0
257,348213496.12,988.0
258,421537212.5,998.0
259,62939017738.41,1002.0
260,1731465592.69,
