,count,store
0,11160322,1.0
1,2365535,2.0
2,4487413,8.0
3,6208754,13.0
4,6275186,14.0
5,1754791,20.0
6,5502800,22.0
7,5331023,25.0
8,3545177,26.0
9,2703938,28.0
10,6093201,34.0
11,2484410,38.0
12,5728925,44.0
13,2644576,46.0
14,7010625,50.0
15,11725642,56.0
16,1673420,58.0
17,7333305,61.0
18,2186674,64.0
19,4970273,74.0
20,11122596,76.0
21,3748164,80.0
22,4240102,82.0
23,2773494,85.0
24,10935300,86.0
25,6137678,88.0
26,6368284,91.0
27,2731717,92.0
28,4091529,94.0
29,3248710,97.0
30,2855434,104.0
31,8140721,118.0
32,7955283,122.0
33,7637911,128.0
34,7099206,134.0
35,3803750,136.0
36,3184055,139.0
37,7723267,146.0
38,4069763,148.0
39,7197245,151.0
40,2685279,154.0
41,2981215,157.0
42,5988809,160.0
43,6354262,163.0
44,2616252,164.0
45,4174303,170.0
46,4777886,187.0
47,9986408,188.0
48,7849404,193.0
49,6508672,194.0
50,8174389,199.0
51,2533925,205.0
52,2988051,206.0
53,7969155,208.0
54,2153702,211.0
55,3063633,214.0
56,3331182,224.0
57,4317462,226.0
58,6173194,229.0
59,9024026,232.0
60,5714450,235.0
61,11311517,236.0
62,8369786,242.0
63,5885411,244.0
64,5563563,248.0
65,2068189,250.0
66,11848343,253.0
67,2659915,259.0
68,11953606,260.0
69,10438623,262.0
70,1923129,265.0
71,3635078,266.0
72,9771735,278.0
73,2242340,280.0
74,4944716,283.0
75,3573262,295.0
76,3510479,301.0
77,3837899,304.0
78,5447363,310.0
79,1861594,316.0
80,2028445,319.0
81,1884348,320.0
82,9290779,325.0
83,11202028,328.0
84,4600283,331.0
85,2002688,332.0
86,5632814,340.0
87,9068030,343.0
88,8295409,344.0
89,1751052,346.0
90,11316788,350.0
91,7608074,352.0
92,9705341,355.0
93,4755573,356.0
94,10534047,358.0
95,9094606,361.0
96,6304075,367.0
97,3056366,374.0
98,4361866,376.0
99,4503431,382.0
100,1797198,385.0
101,2130695,397.0
102,4210212,398.0
103,3097318,403.0
104,1769527,410.0
105,3029510,412.0
106,2498600,415.0
107,11034718,418.0
108,5198904,421.0
109,1991176,424.0
110,5260686,427.0
111,6407972,430.0
112,3601896,446.0
113,7289872,448.0
114,3903534,452.0
115,10516045,454.0
116,9587976,457.0
117,6312435,458.0
118,9460656,463.0
119,7760830,472.0
120,7713572,475.0
121,1772171,476.0
122,3710326,481.0
123,5251076,484.0
124,4724784,502.0
125,4651713,505.0
126,4690050,508.0
127,9513119,512.0
128,4793674,514.0
129,1809175,520.0
130,2904314,524.0
131,2300927,526.0
132,5656511,532.0
133,2929212,535.0
134,1853358,536.0
135,6635285,547.0
136,4440297,548.0
137,10471135,554.0
138,8934963,559.0
139,3441027,560.0
140,4853108,562.0
141,5105015,566.0
142,2414031,568.0
143,12123180,574.0
144,1705788,578.0
145,7220213,580.0
146,3118656,584.0
147,3892109,589.0
148,10193796,592.0
149,5124007,595.0
150,2992633,598.0
151,3355245,601.0
152,4825172,602.0
153,10269584,608.0
154,10655151,614.0
155,5353949,616.0
156,5978491,619.0
157,7070859,625.0
158,11781076,634.0
159,2887579,637.0
160,2367446,638.0
161,7875356,644.0
162,2155048,650.0
163,2536114,652.0
164,4887158,655.0
165,3783699,658.0
166,2223813,661.0
167,9817390,668.0
168,5901701,673.0
169,8883105,682.0
170,2117371,685.0
171,8820308,686.0
172,6778670,691.0
173,11070791,692.0
174,3949079,700.0
175,8742816,704.0
176,3231789,706.0
177,8203691,709.0
178,9215344,710.0
179,6690467,712.0
180,4300986,715.0
181,11684486,718.0
182,3299395,722.0
183,3484980,724.0
184,2111368,728.0
185,9191320,734.0
186,6533507,740.0
187,11250986,745.0
188,11998792,746.0
189,3655745,748.0
190,2571591,763.0
191,7139005,764.0
192,11390724,766.0
193,3473233,769.0
194,4709467,770.0
195,3216674,775.0
196,2607597,781.0
197,8966133,784.0
198,6460809,787.0
199,5054377,788.0
200,3987523,790.0
201,2956444,793.0
202,9896460,796.0
203,1899836,799.0
204,4978027,800.0
205,7146287,802.0
206,8108471,805.0
207,3136873,808.0
208,2752034,814.0
209,8513606,820.0
210,3285502,823.0
211,5850537,824.0
212,6588276,830.0
213,4169033,832.0
214,3514265,838.0
215,5799332,841.0
216,10775608,842.0
217,11892169,847.0
218,3460015,848.0
219,5942010,850.0
220,3985692,854.0
221,5766813,856.0
222,9608246,859.0
223,2285302,862.0
224,3383945,865.0
225,10814488,868.0
226,5489241,871.0
227,3067320,872.0
228,2123746,874.0
229,9257074,880.0
230,11800517,883.0
231,3859746,898.0
232,5020666,901.0
233,2015337,904.0
234,2837440,907.0
235,1816064,914.0
236,11624862,916.0
237,6835921,919.0
238,1991855,922.0
239,7519767,925.0
240,11575216,926.0
241,10314904,928.0
242,3412821,932.0
243,2793806,934.0
244,3093880,938.0
245,9750654,940.0
246,5363149,946.0
247,7251966,949.0
248,1860892,955.0
249,6113600,956.0
250,10407146,958.0
251,6556715,968.0
252,3859726,973.0
253,1842570,976.0
254,4594760,979.0
255,2253018,982.0
256,3587451,985.0
257,6473131,988.0
258,7831839,998.0
259,1169505120,1002.0
260,32176664,
