,avg,store
0,53.90612929368179,148.0
1,53.8872198994443,898.0
2,53.779121428608065,790.0
3,53.91066408327416,625.0
4,53.71302083197027,938.0
5,53.82436966622401,
6,53.85449999215428,652.0
7,53.9454371442524,781.0
8,53.726535070998,350.0
9,53.71664743843267,874.0
10,53.837076550925744,554.0
11,53.77896630159538,278.0
12,53.69325337945008,424.0
13,53.84222173803353,946.0
14,53.763993745608964,734.0
15,53.91456047452389,92.0
16,53.66935785746147,236.0
17,54.00629743303571,770.0
18,53.706917067164,919.0
19,53.79233360890632,22.0
20,53.75295629580204,949.0
21,53.83528010961838,998.0
22,53.80644313716093,932.0
23,53.735222918408724,784.0
24,53.574745561891945,764.0
25,53.8884624298561,475.0
26,53.89142654815106,454.0
27,53.72214849299125,638.0
28,53.53722358072442,838.0
29,53.89869249254652,775.0
30,53.900857762297115,940.0
31,53.6082647671022,505.0
32,53.817153647135555,502.0
33,53.8780930882511,280.0
34,54.01374220221966,88.0
35,53.80728314050538,188.0
36,53.675342683221714,700.0
37,53.875082333566425,328.0
38,53.84363344586896,634.0
39,53.76949709686004,658.0
40,54.1059500390614,650.0
41,53.8522780442848,578.0
42,53.87226055818792,802.0
43,53.73026487810877,226.0
44,53.84657543902046,710.0
45,53.803259968496945,187.0
46,53.79446914365551,914.0
47,53.911967386780674,842.0
48,53.744189584977995,859.0
49,53.818061342641265,61.0
50,53.87108745560231,244.0
51,53.755730572446126,160.0
52,54.256195432458696,728.0
53,53.73302405106164,766.0
54,53.80469774273747,644.0
55,53.87741767919898,602.0
56,53.79898987398269,824.0
57,53.766242273556045,691.0
58,53.86767694829385,508.0
59,53.9483656839095,242.0
60,53.78251945257677,800.0
61,53.613346345349534,331.0
62,53.83385683531959,769.0
63,53.8850551366877,266.0
64,53.909167315341826,104.0
65,53.869937488932905,796.0
66,53.68772874548912,397.0
67,53.867598489262825,841.0
68,53.99333255558472,91.0
69,53.76548165885312,427.0
70,53.69364946617736,283.0
71,53.964714538212384,562.0
72,53.79954957069874,686.0
73,53.81464692902629,361.0
74,53.858686691190094,472.0
75,53.842520660921664,446.0
76,53.76247884391279,86.0
77,53.901261355523275,823.0
78,53.69902221304744,343.0
79,53.77901718017973,50.0
80,53.90527441192513,253.0
81,53.623705152423135,14.0
82,53.75949713280719,692.0
83,53.89269536992348,340.0
84,53.79021713493494,512.0
85,53.851819352655276,661.0
86,53.66221450006524,356.0
87,53.797766790276064,13.0
88,53.62133657456915,722.0
89,53.97324375817051,724.0
90,53.71189137830831,458.0
91,54.06748796643659,2.0
92,53.792276168010424,199.0
93,53.82967828346415,128.0
94,53.910780664384745,344.0
95,53.81873783304298,595.0
96,53.86618487092387,745.0
97,53.65241682734443,410.0
98,53.75348905178148,872.0
99,53.815552890719786,740.0
100,53.91275890714417,637.0
101,53.970801215334994,355.0
102,53.7025329454602,808.0
103,53.67030561022219,856.0
104,53.882246185124,301.0
105,53.64998255488628,38.0
106,53.768108228563136,193.0
107,53.97013355423052,164.0
108,53.63411521912571,548.0
109,54.095933322139906,922.0
110,53.900642967425384,787.0
111,53.721506782137915,250.0
112,53.90018915857565,709.0
113,53.882331281589,619.0
114,53.761291061165366,20.0
115,53.586188376341354,865.0
116,53.99113906238928,319.0
117,53.64427133212636,985.0
118,53.875340814729576,1.0
119,53.855090114379834,76.0
120,53.338405449697916,58.0
121,53.75776141690044,718.0
122,53.703848102770955,8.0
123,53.9925272184288,934.0
124,53.86716207218005,814.0
125,53.712596818544995,668.0
126,53.9414851546863,850.0
127,53.93363980643804,346.0
128,53.81514118799086,229.0
129,53.8301508712165,481.0
130,53.90805570444941,559.0
131,53.81474947614797,1002.0
132,53.687099454424484,304.0
133,53.702742947924705,788.0
134,53.85487688056322,448.0
135,53.751064499334554,926.0
136,53.75437902137158,146.0
137,53.926199023549685,80.0
138,53.96350797070618,382.0
139,53.50624659952104,514.0
140,53.96959967553669,854.0
141,53.8610948876363,170.0
142,53.67577056878653,712.0
143,54.22499385881745,799.0
144,53.93437852748393,916.0
145,53.75631687590678,262.0
146,53.927523984553616,320.0
147,54.09463626225852,415.0
148,53.55989502369519,97.0
149,53.817985255786375,976.0
150,53.779054900812966,560.0
151,53.751165675556685,547.0
152,53.84031956011715,589.0
153,53.78282858841816,452.0
154,53.75437337270248,830.0
155,53.777833534754265,982.0
156,54.021747218870225,682.0
157,53.92354731309037,44.0
158,53.836310461546205,988.0
159,53.93172550226192,715.0
160,53.911877200815155,235.0
161,53.639415060933686,601.0
162,53.733262443220255,82.0
163,53.599950935004706,763.0
164,53.75337959711698,376.0
165,53.61496333825721,214.0
166,53.75063812440139,847.0
167,53.59559970963596,685.0
168,53.929543265487276,358.0
169,53.59077625755613,412.0
170,53.93844383076613,973.0
171,54.014337850145765,566.0
172,53.75951083268076,26.0
173,53.921539025323675,532.0
174,53.84858489145817,85.0
175,53.946361815625366,457.0
176,54.06342716830132,535.0
177,53.90438058469065,592.0
178,53.884745534393346,259.0
179,53.724353901415704,232.0
180,53.698054642642,28.0
181,53.95726819921938,310.0
182,53.66519218964086,832.0
183,54.006227310786706,907.0
184,53.86584459369949,584.0
185,53.706550951464614,746.0
186,53.84776878258799,398.0
187,53.841290841145636,56.0
188,53.826494094460074,151.0
189,53.76412123760401,820.0
190,53.86273286902561,74.0
191,53.757407684046,574.0
192,53.80215171692443,616.0
193,53.76166561325622,868.0
194,53.942745440126885,34.0
195,53.86460994745023,418.0
196,53.85860906738483,205.0
197,53.84920445596118,706.0
198,53.731150914651046,325.0
199,53.68719709609054,673.0
200,54.18142681138761,904.0
201,53.75467778334168,956.0
202,53.96846301621995,295.0
203,53.68645142149832,958.0
204,53.72020275417521,484.0
205,53.85040008089251,955.0
206,53.719978818247924,134.0
207,53.76527574603623,163.0
208,53.66593552235531,598.0
209,53.602734798998334,526.0
210,53.78795395642449,352.0
211,53.70776752140757,848.0
212,53.92255231113943,524.0
213,53.596183388284004,430.0
214,53.6606817186033,862.0
215,53.74252948024447,118.0
216,53.72657578105182,793.0
217,53.61090863810261,265.0
218,53.84126587765556,608.0
219,53.8190214815666,968.0
220,53.91721631624187,979.0
221,53.593015176219744,871.0
222,53.755623955440555,194.0
223,53.816550963771576,568.0
224,53.90599125202602,385.0
225,53.82669008430349,463.0
226,54.250046347060355,476.0
227,53.8695841514112,367.0
228,53.78999022584716,883.0
229,53.72950755616411,805.0
230,53.89225072776534,374.0
231,53.93159985886563,655.0
232,54.03063846226623,46.0
233,53.82508755829801,206.0
234,53.98472849597508,224.0
235,53.801680536049915,704.0
236,53.988832802580625,157.0
237,53.84749254884268,260.0
238,53.742037589809065,880.0
239,53.6816115872743,925.0
240,53.768880996214776,136.0
241,54.10697026614033,139.0
242,53.82215905207233,421.0
243,53.77863096482253,248.0
244,53.82382236385598,208.0
245,53.90464786388946,614.0
246,53.70200035028404,25.0
247,53.67799410526316,122.0
248,53.7719321053081,94.0
249,54.04473456229707,154.0
250,54.04656848458639,211.0
251,53.68349825684653,316.0
252,53.71825507296664,403.0
253,53.92609167165723,901.0
254,53.61488196449847,332.0
255,53.761162513437476,580.0
256,53.629362843653915,748.0
257,53.63766674376447,928.0
258,53.91936267362877,536.0
259,53.64676911773017,520.0
260,53.68966958873538,64.0
